0, 1
11.50421(352.7, 20.9, 3.6)
12.01538(351.8, 28.9, 1.5)
12.52625(353.3, 24.0, 2.0)
13.02631(344.2, 17.0, 3.8)
13.53662(348.8, 12.0, 4.0)
14.0473(347.9, 13.0, 3.0)
14.54742(347.2, 9.4, 2.4)
15.05804(352.8, 7.7, 3.2)
15.5686(352.6, 6.1, 4.7)
16.06885(355.5, 6.5, 5.2)
16.57953(351.9, 8.4, 2.3)
17.09076(352.7, 5.7, 2.6)
17.60138(350.8, 7.0, 2.8)
18.112(348.0, 12.2, 2.2)
18.6225(348.4, 17.5, 2.0)
19.12335(345.6, 14.9, 2.3)
19.63397(347.8, 13.5, 2.0)
20.14471(350.7, 12.2, 3.2)
20.65497(350.2, 12.5, 3.2)
21.16589(350.4, 12.8, 3.4)
21.66626(350.6, 12.0, 3.1)
22.17688(349.4, 12.2, 3.0)
22.68756(349.8, 13.1, 2.8)
23.18768(349.3, 13.9, 2.7)
23.69806(349.5, 13.5, 2.4)
24.19849(349.5, 13.4, 2.4)
24.69855(349.6, 13.2, 2.6)
25.2088(351.7, 15.8, 359.9)
25.71991(351.3, 13.3, 3.8)
26.23029(351.7, 14.0, 2.8)
26.74115(352.8, 46.2, 0.3)
27.25195(352.2, 44.5, 1.5)
27.75262(352.1, 9.8, 5.7)
28.263(354.0, 3.3, 6.5)
28.77356(352.1, 6.8, 5.9)
29.2738(353.9, 10.1, 5.6)
29.77527(353.0, 10.5, 6.5)
30.27753(354.5, 17.1, 4.0)
30.7843(357.0, 21.1, 3.5)
31.29492(352.9, 22.4, 4.2)
31.80518(353.6, 20.5, 5.9)
32.31635(352.1, 21.6, 5.4)
32.81647(351.6, 27.6, 4.7)
33.32727(351.4, 31.2, 3.3)
33.83795(351.8, 25.3, 3.8)
34.34882(356.8, 12.0, 1.9)
34.84894(354.9, 14.2, 1.8)
35.35944(353.5, 16.2, 2.8)
35.87042(352.2, 14.7, 2.3)
36.3811(352.1, 16.9, 1.8)
36.88153(352.2, 17.1, 2.3)
37.39221(351.5, 17.0, 3.4)
37.90265(351.1, 15.2, 4.8)
38.40283(350.8, 9.8, 4.8)
38.91357(350.4, 12.9, 2.6)
39.42365(350.7, 16.9, 2.2)
39.92377(350.3, 19.2, 3.1)
40.43469(350.9, 18.3, 4.1)
40.93494(351.0, 18.6, 4.4)
41.44519(351.4, 19.4, 3.3)
